Title;Description;Asset type;Tags
AdobeStock_230678767;;Photos;sea,landscape,wind energy,future,farm,ocean,electricity,jutland,europe,nature,road,PAEN,alternative,bay,alternative energy,ecologically,innovation,airport,Scandinavia,Blue,wind,water,oresund,Power,Power Generation,windmill,Wind turbine,Copenhagen,Process Automation,technology,connection,harbor,Energy,energy transition,infrastructure,current,Baltic Sea,power grid,Denmark,clean,offshore,wind power,wind farm,rotor,building,Adobe Stock,PA,green,Production,coast,environmental protection,generator,renewable,capital region,island
B&R - Adaptive manufacturing technologies - 6;;Photos;unit,adaptive manufacturing,technologies,technology,manufacturing,demo unit,demo,B&R
B&R - Value Provider Program Type Distributor;;Photos;distributor,program,B&R,value provider,value provider program
GettyImages_910893692;;Photos;GettyImages,mountain,Getty Images,water dam,horizontal image,water,mountains,scenics,dam
Baden & Turgi Photoshoot 30;;Photos;motion,factory,Baden,photoshoot,Turgi,Switzerland
ABB Formula E 2024 Season 10 - 18;;Photos;race,Formula E,season 10,fe,championship,car,s10,ABB Formula E,motorsport,racing,sport,2024,race car,electric car
AdobeStock_233205473;Mountain peak Everest. Highest mountain in the world. National Park, Nepal.;Photos;exploration,teamwork,mountaineer,summit,achievement,trekking,expedition,success,mountain,rock,cooperation,nepal,successful,peak,hiking,top,travel,himalaya,partnership,alps,tourist,motivate,climbing,Team,explore,hiker,leadership,Group,together,extreme,risk,sport,motivated,climber,elbrus,everest,mount,reach,mountaineering,adventure,leader,concept,climb,challenge,freedom,active,Adobe Stock,goal,snow,motivation
Segments - Dairy 1;Tank full of milk in a cheese factory. Parmesan cheese production in Italy. The concept of modern production of high-quality food concept;Photos;churing,manufacture,mixing,whisking,modern,process,milk,liquid,fine,processing,factory,stainless,cheese,metal,white,cream,production,background,food,making,technology,produce,manufacturing,pouring,whisk,churn,cheese making,provide,culinary,business,dairy,Adobe Stock,industry segments,work,steel,organic,container,craft,industrial,segments,full milk,industry,machine,crafting
Industry - District Energy (Heating and cooling) 3;Large industrial boiler room and water treatment facility, blue pumps, shiny stainless metal pipes, and valves. Generative AI;Photos;plant,district energy,heat,valve,pressure,steam,pipeline,blue,engine,tube,district,energy,home,modern,repair,heating,temperature,construction,house,factory,utilities,stainless,metal,water,pipe,control,gas,hot,system,engineering,plumbing,appliance,technology,boiler,room,service,adobe stock,manufacturing,measurement,gauge,maintenance,building,power,heating and cooling,work,pump,steel,industrial,interior,brass,equipment,industry,machine,installation
Shore connection shipside installation;;Photos;process automation,PAMP,connection,marine offshore,shore,PA,shipside,installation
MOTR Łódź Plant Photoshoot - 15;;Photos;Łódź,traction,Poland factory,Poland,MOTR,traction converters,factory,traction batteries,Lodz
Baden & Turgi Photoshoot 25;;Photos;motion,factory,Baden,photoshoot,Turgi,Switzerland
B&R - APC 4100 0 and 3 slot variations and APC 2200;B&R industrial PC / APC products on display;Photos;unit,3 slot,APC 2200,APC family,products,industrial PC,APC 4100,demo unit,demo,B&R,variations,APC
ABB BADEN SIDE 61593 ret;;Photos;water and wastewater,progress,water dam,Baden,water,sideshots,Switzerland
GettyImages_1163443462;Portrait of confident mature businessman;Photos;GettyImages,Getty Images,businessman,glasses,mature,experience,portrait,face,mature businessman,confident
AdobeStock_292244800;;Photos;Sunset,electric,landscape,plant,electricity,sunbeam,solar farm,field,pv modules,nature,panels,sky,solar panels,alternative,environment,travel,photovoltaic,Blue,Renewable Energy,arid,modules,generation,power plant,atacama desert,Power,Chile,Solar Power plant,desert,view,panel,renewables,environmental,technology,Energy,pv inspections,ecology,clean,atacama,sunlight,energy generation,Adobe Stock,pv plant,cell,pv module,sustainability,sun,green,industry,solar energy,atacama region,renewable
ABB_Business_Panorama_1300x731;Digital advertisement of the smarter building campaign from ABB´s business line Building Products. This shows how ABB is shaping the future of buildings of tomorrow.;Photos;street,2018,impressive,bright,smarter campaign,urban,photoshoot,group of people,standing,electric bus,bike,spring,summer,outdoor,smiling,EP,day,EPBP,building products,smarter,electric car,city
ABB_Business_Panorama_1300x731;Digital advertisement of the smarter building campaign from ABB´s business line Building Products. This shows how ABB is shaping the future of buildings of tomorrow.;Photos;street,2018,impressive,bright,smarter campaign,urban,photoshoot,group of people,standing,electric bus,bike,spring,summer,outdoor,smiling,EP,day,EPBP,building products,smarter,electric car,city
ABB_EB_APALA_R&D_13;Corporate research for wireless communication, Bengaluru, India;Photos;Employer Branding,R&D,wireless communication,collaboration,bangalore,wireless,innovation,research,Global Campaign,Employer Branding campaign,Apala
ABB Future of work 0375 ;;Photos;working people,Employer Branding,robot,indoor,future of work,programming,Woman,glasses,study,testing,People,working,Employer Branding campaign,Employee,Looking,picking,Employees,day,robots
MOIM Vaasa Plant Photoshoot - 13;Images from the Vaasa Plant Photoshoot;Photos;Finland,LV,Vaasa,IEC,motors,IEC low voltage motors,IEC LV motors,MOIM,low voltage motors,low voltage
AdobeStock_383189890;;Photos;young,happiness,office,headset,Woman,Indoors,portrait,Adult,People,Caucasian,smile,Adobe Stock,businesswoman,work,Business,alone,day,one
AdobeStock_193508956;Panorama cityscape view in the middle of Kuala Lumpur city cente , day time, Malaysia.;Photos;aerial,skyscrapers,landscape,horizontal,centre,town,sightseeing,cityscape,blue,development,sky,malaysia,office,cityspace,modern,tower,center,destination,scape,urban,travel,light,capital,panorama,twin,view,downtown,kuala,asia,high,cloud,metropolitan,tall,architecture,business,building,skyline,Adobe Stock,lumpur,famous,landmark,vacation,highest,klcc,financial,skyscraper,scene,city,photo,scenery,kl,corporate
Employer Branding - 23;;Photos;branding,employer branding,marketing,human resources,HR,employer branding campaign,marketing materials,HR marketing,ABB employer branding,employer
ABB building Cracow - drone view 8;;Photos;Cracow,Krakow,aerial view,drone aerial shot,ABB Poland,Poland,office,ABB buildings,headquarter,drone view,aerial panorama,ABB office,headquarters
